,id,text,user,datetime,retweet_count,favorite_count,	,cluster
0,870430878291329025,Also-- Trump suspending production of penicillin to help bring back Bubonic Plague. Gravediggers CEO applauds jobs… https://t.co/UDK7i28CgX,20479813,2017-06-02 00:04:27,4747,13233,3473891,6
1,870431036391518208,"How far away from America will Angela Merkel’s frustration lead the Chancellor, her country, and her continent? https://t.co/YvXem4ftin",14677919,2017-06-02 00:05:05,136,240,3470741,7
2,870431356253351936,RT @Goldfarb: Amazing job alert: A new beat covering the business and economics of entertainment/media at @washingtonpost. https://t.co/a7e…,13524182,2017-06-02 00:06:21,65,0,3477311,43
5,870432024548528131,Either Jared or Russian bank (or both) are lying about reason for secret meeting during transition.… https://t.co/3XBmGtWpoA,14940354,2017-06-02 00:09:01,47,46,3479316,7
10,870432316522418176,"RT @Lauraecor: How fast are American newsrooms shrinking? @CJR wants to find out.
https://t.co/1jFSD0oGFv)",57411021,2017-06-02 00:10:10,11,0,3472124,43
13,870432639634751489,NEW @NBA #MeanTweets w/ @ZachLaVine @DeAndre Jordan @MConley11 @Yg_Trece @KarlTowns @DevinBook @RealJayWilliams… https://t.co/TN89AifgTM,26053643,2017-06-02 00:11:27,1658,2912,3468840,7
14,870432656898633729,Held in Manila https://t.co/y9dJjR8s81,742143,2017-06-02 00:11:31,42,75,3470063,7
15,870432657024450560,Summer in Pyongyang? https://t.co/sTxrKyb3wj,742143,2017-06-02 00:11:31,37,102,3470063,7
17,870433003784118272,NEW @NBA #MeanTweets w/ @DocRivers @WaltFrazier @MichelleDBeadle @JoelEmbiid @JHarden13 @MagicJohnson @Shaq… https://t.co/dOz24agjq4,26053643,2017-06-02 00:12:54,639,1128,3468753,7
18,870433071186792449,A new study's surprising findings about female journalists: https://t.co/UQ9EpPuQGL https://t.co/Un9sxtbfEJ,57411021,2017-06-02 00:13:10,12,16,3471944,7
19,870433257808121856,Worked to death https://t.co/WREtCe7i2O,742143,2017-06-02 00:13:55,230,219,3469919,7
20,870433440243515392,Al Franken REALLY hates Ted Cruz. https://t.co/Aw9iQ6s5oK https://t.co/cEaiSVBE7q,14940354,2017-06-02 00:14:38,12,48,3478979,7
21,870433537991880704,Obama helped forge the Paris accord to make up for decades of American inaction. Trump has nullified that effort. https://t.co/h4aMtF3GKj,14677919,2017-06-02 00:15:01,200,274,3470145,6
