user_id,screen_name,followers_count,followees_count,firsttweettime,statuses_count,retweets_count,replies_count,links_count,favorites_count,text_median_length,url
12,jack,4151318,3262,2017-07-03 22:58:06,832,378,667,380,20256,40,0
13,biz,3020210,954,2017-07-02 02:51:27,530,104,350,312,4844,87,1
989,om,1528325,1322,2017-07-01 16:38:21,1697,419,1171,959,38989,91,1
1081,davemcclure,366649,17677,2017-07-01 23:44:15,1391,1317,1359,921,41089,80,0
3839,davewiner,69405,3998,2017-12-18 03:38:46,3362,938,1553,2172,8090,70,1
11332,Crissy,84830,218,2017-07-01 16:05:06,2391,1712,1791,1806,1710,51,1
13348,Scobleizer,427996,42726,2017-07-01 22:02:14,938,263,681,578,76033,84,1
36623,jbenton,27332,2173,2017-11-05 22:16:55,3145,1894,2453,1577,20487,87,1
79543,jowyang,176607,20032,2017-07-01 17:34:18,1500,286,717,921,38954,57,1
82243,jemimakiss,123475,1655,2017-07-27 23:54:09,258,76,160,139,1499,92,1
428333,cnnbrk,54161690,121,2017-07-25 01:18:22,3255,1018,1058,2993,18,115,1
465973,GuidoFawkes,243619,29,2017-10-12 11:55:11,3314,743,1420,2614,784,67,1
612473,BBCNews,9205516,99,2017-12-29 02:00:40,3054,946,1243,2449,36,58,1
640893,EWErickson,193544,1499,2018-01-04 20:20:28,3301,1779,2221,1811,759,83,1
657863,kevinrose,1795249,867,2017-07-04 23:15:18,338,21,271,140,3337,69,1
742143,BBCWorld,22636865,85,2017-12-20 21:04:38,3312,590,620,3006,9,55,1
755113,ShaunKing,914268,10133,2018-01-16 15:37:36,3119,2319,2616,1116,88771,90,1
772471,GrammarGirl,288742,4378,2017-07-03 17:37:20,1015,120,743,578,12287,91,1
778057,acarvin,107446,2167,2017-07-18 00:23:48,292,199,239,144,887,73,1
786764,bbcworldservice,329712,380,2017-07-12 15:00:24,1301,271,443,1200,1529,116,1
788524,guardiannews,2838546,1293,2018-01-13 05:03:00,3193,3,3,3191,13,67,1
807095,nytimes,41144251,883,2018-01-18 19:29:03,3542,658,713,3091,16283,115,1
813286,BarackObama,100082962,624678,2017-07-20 00:49:02,48,6,13,31,10,117,1
816653,TechCrunch,10098575,991,2017-12-15 05:04:03,3319,26,534,3299,2634,73,1
817386,Techmeme,356722,877,2017-10-04 17:26:29,3192,1,234,3174,43167,117,1
824157,mathewi,85424,4913,2017-12-14 14:14:56,3283,2281,2701,1528,97264,88,1
851211,benwikler,80719,2763,2017-11-16 14:30:46,3144,1413,2201,1552,34752,116,1
858051,dannysullivan,534507,7950,2017-07-22 06:53:51,3200,478,2058,1904,11024,101,1
890891,BleacherReport,6303158,613,2017-12-11 16:35:49,1938,204,606,1889,150,81,1
914061,levie,2439213,429,2017-07-06 02:02:27,103,23,29,71,9553,93,1
926601,vermontgmg,21614,4134,2017-07-21 21:08:19,3148,1805,2283,1752,4639,108,1
