user_id,screen_name,followers_count,followees_count,firsttweettime,statuses_count,retweets_count,replies_count,links_count,text_median_length,url
12,jack,4151630,3272,2017-07-03 22:58:06,839,383,672,385,39,0
13,biz,3020210,954,2017-07-02 02:51:27,530,104,350,312,87,1
418,dens,87461,2423,2017-08-22 19:23:28,3161,1156,2729,1761,96,1
989,om,1528211,1321,2017-07-01 14:54:45,1715,428,1182,970,92,1
1081,davemcclure,366627,17678,2017-07-01 23:44:15,1413,1339,1381,929,80,0
3839,davewiner,69392,3999,2017-12-18 03:38:46,3475,971,1603,2240,69,1
4816,EFF,388619,942,2017-07-01 16:41:51,2794,285,825,2575,114,1
11332,Crissy,84836,218,2017-07-01 14:04:19,2393,1712,1791,1808,51,1
12181,mommye,71068,55850,2017-12-09 04:18:29,3125,2658,2748,1547,71,1
13348,Scobleizer,427834,42752,2017-07-01 22:02:14,938,263,681,578,84,1
36623,jbenton,27332,2173,2017-11-05 22:16:55,3145,1894,2453,1577,87,1
36823,anildash,628377,5016,2018-01-04 15:36:26,3219,773,2881,1275,85,1
79543,jowyang,176576,20033,2017-07-01 17:34:18,1510,288,721,926,57,1
82243,jemimakiss,123464,1657,2017-07-27 23:54:09,258,76,160,139,92,1
202003,pkafka,81938,1071,2017-07-10 13:59:21,2176,550,1293,1412,92,1
428333,cnnbrk,54146277,121,2017-07-25 01:18:22,3289,1030,1070,3018,116,1
465973,GuidoFawkes,243724,29,2017-10-12 11:55:11,3363,754,1446,2651,67,1
612473,BBCNews,9212612,99,2017-12-29 02:00:40,3173,982,1290,2544,58,1
621533,BBCPolitics,430527,216,2017-09-11 12:17:26,3185,661,929,2715,55,1
640893,EWErickson,193668,1498,2018-01-04 20:20:28,3458,1848,2316,1909,83,1
657863,kevinrose,1795458,870,2017-07-04 23:15:18,339,21,272,141,69,1
742143,BBCWorld,22657114,85,2017-12-20 21:04:38,3454,607,640,3138,55,1
755113,ShaunKing,915160,10153,2018-01-16 15:37:36,3119,2319,2616,1116,90,1
759251,CNN,39458475,1116,2018-01-30 02:31:08,3212,212,365,3035,115,1
772471,GrammarGirl,288718,4379,2017-07-03 17:37:20,1035,123,755,593,93,1
778057,acarvin,107436,2167,2017-07-18 00:23:48,292,199,239,144,73,1
786764,bbcworldservice,329712,380,2017-07-12 15:00:24,1301,271,443,1200,116,1
788524,guardiannews,2838546,1293,2018-01-13 05:03:00,3193,3,3,3191,67,1
807095,nytimes,41161329,883,2018-01-18 19:29:03,3947,706,771,3459,115,1
813286,BarackObama,100106150,624656,2017-07-20 00:49:02,48,6,13,31,117,1
816653,TechCrunch,10103077,991,2017-12-15 05:04:03,3391,26,537,3371,74,1
817386,Techmeme,356795,877,2017-10-04 17:26:29,3212,1,234,3194,117,1
824157,mathewi,85447,4911,2017-12-14 14:14:56,3323,2305,2730,1552,89,1
851211,benwikler,80851,2770,2017-11-16 14:30:46,3176,1425,2222,1569,116,1
858051,dannysullivan,534530,7955,2017-07-22 06:53:51,3225,480,2076,1917,101,1
890891,BleacherReport,6303158,613,2017-12-11 16:35:49,1938,204,606,1889,81,1
914061,levie,2434155,429,2017-07-06 02:02:27,108,24,31,75,93,1
926601,vermontgmg,21614,4134,2017-07-21 21:08:19,3148,1805,2283,1752,108,1
950531,pbump,85815,587,2017-12-06 17:20:12,3260,189,1895,1268,54,0
972651,mashable,9889848,2784,2018-01-28 01:54:04,3113,109,116,3105,64,1
975731,CraigSilverman,27679,3984,2017-07-01 12:41:14,1874,871,1414,1092,91,1
1077971,bobbyllew,145773,1044,2017-07-01 17:17:16,3033,419,2258,1628,99,1
1236101,BenedictEvans,239680,1068,2017-12-20 15:39:10,3288,1040,2544,1325,89,1
1255671,NYT,5402,109,2018-01-27 02:54:22,3472,0,0,3472,62,1
1294741,ruskin147,171439,5114,2017-07-20 06:06:50,3229,895,1966,1886,83,1
1344951,WIRED,10260462,309,2017-11-21 15:51:14,3358,532,659,3056,100,1
1367531,FoxNews,17231174,405,2018-02-04 03:49:29,3191,145,1831,3099,103,1
1417251,pressgazette,63973,12407,2017-07-03 08:38:54,1106,60,152,1039,107,1
1489691,emilybell,66867,6955,2017-07-01 15:03:44,3114,721,2293,1470,88,0
1586501,nickbilton,274462,990,2017-07-03 01:42:08,318,110,186,218,113,1
1652541,Reuters,19390612,1066,2018-02-05 19:30:17,4872,160,1059,4812,93,1
1754641,nytimesbusiness,795402,388,2018-01-04 19:46:09,3268,236,320,3134,116,1
1759181,MattMackowiak,22419,8743,2018-01-08 23:34:28,3178,1969,2353,1609,39,1
1877831,nytimesworld,1908226,499,2018-01-13 22:16:04,3346,169,183,3246,117,1
1917731,thehill,2977991,899,2018-02-09 06:45:11,3593,2,22,3591,101,1
1947301,thenation,1253370,7978,2017-08-15 16:15:05,3148,811,905,2782,67,1
2030711,matthewstoller,44524,1707,2017-12-01 17:46:30,3186,677,2111,1864,116,1
2097571,cnni,7574407,368,2018-01-20 00:31:07,3193,79,227,3135,115,1
2195241,fmanjoo,168822,4149,2017-11-19 18:42:24,3141,1564,2461,1217,52,0
2384071,timoreilly,1987212,1836,2017-07-01 19:27:33,1954,1057,1613,1178,113,1
2467791,washingtonpost,12111074,1465,2018-01-22 14:21:04,3789,81,121,3734,83,1
2557521,espn,33954969,281,2017-09-12 02:32:08,3025,636,1043,2834,73,1
2729061,doctorow,435830,1531,2018-01-17 16:48:25,3810,804,1225,3077,72,1
2735591,FastCompany,2334163,4054,2018-01-04 09:30:17,3169,165,571,3085,92,1
2836421,MSNBC,2011814,568,2017-12-15 00:45:05,3519,993,1377,2801,100,1
2884771,Newsweek,3417605,235,2018-01-18 05:10:03,3191,43,81,3162,102,1
3108351,WSJ,15540725,1104,2018-01-23 02:40:09,3798,12,146,3792,106,1
3496641,reckless,116384,1662,2017-07-12 14:54:54,3176,225,2415,1214,76,1
3497941,owillis,105755,5179,2018-02-01 15:31:07,3407,775,1662,1910,83,1
3704391,Shelter,243170,2678,2017-07-02 08:03:04,2518,158,1968,1916,116,1
3941241,journalismjobs,19872,12302,2017-10-31 14:48:01,3366,11,118,3356,61,1
4107581,petersuderman,21418,1172,2017-09-26 17:22:03,3171,1046,1883,1596,79,1
4119741,jdickerson,2215318,1798,2017-07-01 13:22:30,1452,429,713,908,81,1
4207961,chrislhayes,1556392,1117,2017-12-12 21:28:44,3491,1903,2771,1210,79,1
4248211,mindyfinn,83377,671,2017-07-02 13:00:55,1605,1086,1187,584,117,1
4620451,BadAstronomer,621069,529,2017-09-01 16:00:17,3257,160,1972,1610,89,1
4970411,AJEnglish,4770344,246,2017-12-28 10:00:06,3573,615,844,3453,99,1
5120691,wef,3297553,345,2018-01-19 12:22:03,3220,6,218,3218,90,1
5336752,PeterHamby,85049,6395,2017-07-02 17:00:46,1456,836,999,926,81,0
5402612,BBCBreaking,37046698,3,2017-07-02 11:03:44,1358,54,107,1340,109,1
5520952,paulocoelho,15028663,284,2017-07-01 14:47:03,1094,99,539,460,74,1
5577902,RickWarren,2295980,5553,2017-07-10 17:35:01,50,2,18,36,117,1
5611152,JesseThorn,51614,613,2017-10-14 04:23:32,3079,921,2171,1563,95,1
5676102,shanselman,199978,7865,2017-11-09 18:32:05,3491,1035,3055,1353,53,1
5695632,BuzzFeed,6428590,3124,2018-01-02 21:50:56,3098,213,218,3002,88,1
5746452,waltmossberg,900991,991,2017-07-01 12:42:17,1853,668,1653,909,96,1
5763262,karaswisher,1292594,1525,2017-10-23 00:49:14,3222,1170,2636,1350,59,1
5845492,tomgara,41521,1312,2017-08-31 16:53:28,3216,845,1697,1940,105,1
5943622,pmarca,673521,16823,2018-02-13 20:44:15,7,1,6,6,68,1
5959342,charlesarthur,73747,1236,2017-12-26 23:59:33,3121,974,2566,1396,92,1
5971922,BoingBoing,235877,2002,2018-01-11 16:18:09,3130,348,445,2987,100,1
5988062,TheEconomist,22939894,160,2018-01-09 09:06:36,3693,193,286,3593,93,1
6107422,thetimes,1083642,698,2018-01-01 09:45:00,3173,168,332,3067,112,1
6267962,dangillmor,45375,1367,2017-10-17 01:07:18,3168,1110,1835,1775,94,1
6393032,LizMair,37252,272,2017-12-01 15:14:18,3617,1317,2445,2038,116,1
6612402,sciencebase,45365,2099,2017-07-01 12:44:33,2167,54,1748,860,88,1
6705042,bengoldacre,492689,2606,2017-07-03 09:04:02,2506,233,1626,1606,117,1
6724252,kerpen,26698,317,2017-10-26 01:31:26,3170,1030,1735,1631,65,0
7076492,Glinner,700031,1633,2017-11-29 21:47:28,3197,2132,2600,1474,49,1
7161172,Zee,37554,2824,2017-07-01 13:50:25,429,104,369,150,87,1
7380362,alex,61388,8550,2017-12-25 22:24:51,3466,672,2322,1277,38,1
7429102,MarkWarner,371423,18007,2017-07-05 18:03:39,1148,379,547,749,117,1
7517222,WWE,10034662,372,2018-01-17 01:39:46,3224,1282,3050,2605,110,1
7526892,dominiccampbell,18161,9323,2017-07-24 06:27:35,3177,1480,2519,1327,65,1
7587032,SkyNews,4517868,26,2018-01-14 10:17:33,3319,170,256,3182,72,1
7744592,TODAYshow,4383801,8166,2017-12-18 18:06:16,3247,520,1262,2940,93,1
7768402,ryanjreilly,93234,7696,2017-09-18 23:46:41,3180,1512,1973,2023,103,1
7848802,thegarance,69301,9111,2018-01-19 23:14:43,3775,3238,3350,1422,97,1
7855062,Susan_Hennessey,146290,658,2017-11-02 14:57:06,3202,2421,2660,1465,117,1
7864222,ddayen,34912,945,2017-10-19 00:21:19,3184,430,1824,1912,113,1
7900962,lhfang,92632,2027,2017-07-01 15:11:12,1618,641,1055,1013,117,1
8005492,pzmyers,177687,521,2017-07-01 12:18:28,3242,815,1681,2022,79,1
8011072,mattkatz00,18588,3102,2017-07-01 14:29:44,2035,735,1455,1208,103,1
8170292,BBCr4today,604926,13899,2017-07-05 10:45:24,3194,946,1570,2279,103,1
8383592,Poynter,190446,1841,2017-08-09 12:04:01,3233,520,965,2939,94,1
8496762,tylercowen,96557,260,2017-07-01 13:24:03,2612,1606,2332,1318,74,0
8548612,normative,36304,2130,2017-12-17 20:53:25,3181,1483,2220,1807,114,1
8593862,ollie,16324,623,2017-07-05 21:46:21,999,99,663,448,43,1
8839632,NBCNightlyNews,950628,455,2017-12-07 00:14:36,3160,503,1044,2766,95,1
8953122,PolitiFact,623887,7881,2017-08-10 21:15:01,3245,438,1337,3135,105,1
8984102,NaNoWriMo,171224,385,2017-07-01 13:42:15,2693,274,1847,1329,115,1
9207632,brainpicker,857992,309,2017-08-04 12:01:36,3191,128,337,3097,112,1
9300262,politico,3558197,1351,2018-01-29 02:36:04,3193,122,906,3106,94,1
9532402,BuzzFeedBen,298382,4282,2017-10-20 18:41:21,3174,2406,2865,1599,70,1
9571702,pt,14888,2567,2017-10-30 03:48:58,3120,64,2533,2076,117,1
9636292,CountryMusic,744160,559,2017-07-03 15:00:01,1088,572,959,830,112,1
9763482,NYDailyNews,650582,1592,2018-01-09 06:52:04,3177,188,490,3086,107,1
10054832,blm03,57372,35359,2018-01-23 04:02:55,3094,2980,2993,1452,58,1
10979382,JillGeisler,8247,6404,2017-10-29 00:31:03,3183,2336,2438,1801,78,1
11348282,NASA,28519141,269,2017-07-01 15:14:02,2967,858,2160,2454,117,1
11386502,7onashoestring,36912,4105,2017-12-14 18:32:01,3179,2180,2937,2049,87,1
11611052,foxnewsradio,133154,231,2017-10-09 06:07:19,3187,474,1567,2804,110,1
11616202,JayCaruso,25499,994,2017-12-16 18:34:18,3137,561,2080,1767,78,1
11621822,davidfolkenflik,77325,1655,2017-07-01 13:15:03,2926,1507,2336,1368,112,1
11640472,anamariecox,1368630,4387,2017-12-13 00:47:15,3385,1809,2501,1685,59,1
11731322,MysteryPollster,19290,701,2017-07-01 18:27:14,334,94,223,255,111,0
11771512,OKnox,48377,2464,2017-11-17 20:07:23,3205,608,2083,1596,68,0
11856032,NBCPolitics,446334,140,2017-10-24 20:17:08,3182,995,1112,2251,86,1
11856892,MeetThePress,543173,362,2017-12-04 17:51:02,3180,882,2501,1919,115,1
11866582,LOLGOP,362797,9594,2018-01-16 20:16:36,3159,1944,2032,1565,113,1
12096202,emilynussbaum,187194,1312,2017-12-27 23:24:32,3182,923,2443,1265,95,1
12245632,jackshafer,78600,988,2017-09-16 19:19:04,3083,998,2455,1126,57,1
